region,year,tourism_nights
TRB2,2020.0,922566.0
TRC1,2020.0,1005816.0
TRC2,2020.0,1097435.0
TRC3,2020.0,764903.0
AL01,2021.0,206227.0
AL02,2021.0,245447.0
AL03,2021.0,624934.0
AT11,2021.0,1166915.0
AT12,2021.0,2171358.0
AT13,2021.0,1226876.0
AT21,2021.0,2686237.0
AT22,2021.0,3670647.0
AT31,2021.0,2029757.0
AT32,2021.0,2631956.0
AT33,2021.0,2104747.0
AT34,2021.0,477358.0
BE10,2021.0,720653.0
BE21,2021.0,674724.0
BE22,2021.0,423606.0
BE23,2021.0,424354.0
BE24,2021.0,327450.0
BE25,2021.0,2136502.0
BE31,2021.0,184557.0
BE32,2021.0,348936.0
BE33,2021.0,626405.0
BE34,2021.0,416790.0
BE35,2021.0,275176.0
BG31,2021.0,403495.0
BG32,2021.0,453863.0
BG33,2021.0,1230447.0
BG34,2021.0,2554374.0
BG41,2021.0,1674459.0
BG42,2021.0,1754557.0
CH01,2021.0,4702094.0
CH02,2021.0,3918497.0
CH03,2021.0,885633.0
CH04,2021.0,1338876.0
CH05,2021.0,5515773.0
CH06,2021.0,2204364.0
CH07,2021.0,2433797.0
CY00,2021.0,1547845.0
CZ01,2021.0,1683418.0
CZ02,2021.0,1165829.0
CZ03,2021.0,2344083.0
CZ04,2021.0,2214368.0
CZ05,2021.0,3235221.0
CZ06,2021.0,2360780.0
CZ07,2021.0,1954771.0
CZ08,2021.0,976340.0
DE11,2021.0,4297336.0
DE12,2021.0,4017549.0
DE13,2021.0,5839124.0
DE14,2021.0,2996210.0
DE21,2021.0,14314424.0
DE22,2021.0,4226678.0
DE23,2021.0,2107508.0
DE24,2021.0,2097726.0
DE25,2021.0,2757808.0
DE26,2021.0,2501289.0
DE27,2021.0,5568968.0
DE30,2021.0,8353125.0
DE40,2021.0,4331294.0
DE50,2021.0,1251496.0
DE60,2021.0,5605261.0
DE71,2021.0,5938555.0
DE72,2021.0,805828.0
DE73,2021.0,2541783.0
DE80,2021.0,9149559.0
DE91,2021.0,2328911.0
DE92,2021.0,2332833.0
DE93,2021.0,2738883.0
DE94,2021.0,4869035.0
DEA1,2021.0,3902391.0
DEA2,2021.0,4411760.0
DEA3,2021.0,1801846.0
DEA4,2021.0,1610784.0
DEA5,2021.0,2748894.0
DEB1,2021.0,2569163.0
DEB2,2021.0,1410708.0
DEB3,2021.0,2483451.0
